t,ax,ay,az
0.0,-0.091,1.18,0.04
0.01,-0.091,0.79,0.15
0.02,-0.298,0.898,-0.042
0.03,-0.359,1.042,-0.121
0.04,-0.137,0.922,-0.09
0.05,-0.138,1.108,0.108
0.06,-0.075,0.697,0.113
0.07,-0.392,1.145,-0.036
0.08,-0.256,0.894,-0.152
0.09,-0.185,1.062,-0.021
0.1,-0.135,0.892,0.116
0.11,-0.143,0.848,0.112
0.12,-0.342,1.132,-0.118
0.13,-0.236,0.794,-0.081
0.14,-0.158,1.193,0.001
0.15,-0.056,0.774,0.153
0.16,-0.254,1.037,0.067
0.17,-0.271,0.889,-0.117
0.18,-0.178,1.014,-0.124
0.19,-0.203,1.084,0.085
0.2,-0.02,0.805,0.129
0.21,-0.293,1.059,0.01
0.22,-0.346,0.773,-0.121
0.23,-0.243,1.189,-0.041
0.24,-0.062,0.852,0.063
0.25,-0.119,0.945,0.141
0.26,-0.288,0.959,-0.049
0.27,-0.275,1.016,-0.112
0.28,-0.206,1.07,-0.082
0.29,-0.073,0.774,0.11
0.3,-0.274,1.096,0.152
0.31,-0.251,0.842,-0.076
0.32,-0.367,1.136,-0.105
0.33,-0.169,0.862,-0.034
0.34,-0.088,1.002,0.177
0.35,-0.146,0.983,0.044
0.36,-0.337,0.869,-0.134
0.37,-0.277,1.111,-0.128
0.38,-0.09,0.923,0.044
0.39,-0.106,0.979,0.165
0.4,-0.214,0.747,-0.034
0.41,-0.433,1.205,-0.089
0.42,-0.096,0.884,-0.071
0.43,-0.113,1.087,0.046
0.44,-0.12,0.753,0.113
0.45,-0.362,0.972,-0.05
0.46,-0.258,1.079,-0.125
0.47,-0.163,0.882,-0.046
0.48,-0.197,1.086,0.121
0.49,-0.123,0.719,0.127
0.5,-0.385,1.18,-0.076
0.51,-0.176,0.844,-0.133
0.52,-0.197,1.118,-0.017
0.53,-0.091,0.907,0.142
0.54,-0.184,0.901,0.099
0.55,-0.327,1.052,-0.141
0.56,-0.234,0.822,-0.092
0.57,-0.215,1.293,0.08
0.58,-0.025,0.807,0.139
0.59,-0.212,1.009,0.023
0.6,-0.309,0.866,-0.132
0.61,-0.243,1.077,-0.057
0.62,-0.075,1.037,0.056
0.63,-0.069,0.784,0.121
0.64,-0.348,1.083,-0.034
0.65,-0.334,0.825,-0.07
0.66,-0.166,1.212,-0.036
0.67,-0.106,0.791,0.112
0.68,-0.218,0.996,0.142
0.69,-0.296,0.988,-0.02
0.7,-0.257,0.994,-0.168
0.71,-0.215,1.013,-0.075
0.72,-0.08,0.774,0.158
0.73,-0.187,1.116,0.076
0.74,-0.283,0.825,-0.109
0.75,-0.275,1.132,-0.134
0.76,-0.2,0.974,0.052
0.77,-0.044,1.0,0.133
0.78,-0.212,0.921,0.049
0.79,-0.337,0.9,-0.164
0.8,-0.289,1.123,-0.043
0.81,-0.043,0.911,0.033
0.82,-0.077,1.065,0.132
0.83,-0.264,0.767,-0.014
0.84,-0.35,1.127,-0.1
