t,ax,ay,az
0.0,-0.157,0.065,0.152
0.01,-0.191,0.116,0.084
0.02,-0.365,-0.057,0.053
0.03,-0.264,-0.125,-0.074
0.04,-0.338,0.03,-0.025
0.05,-0.381,0.091,0.019
0.06,-0.249,0.169,-0.042
0.07,-0.269,0.195,-0.083
0.08,-0.232,0.138,-0.052
0.09,-0.222,0.019,-0.002
0.1,-0.123,-0.126,0.052
0.11,-0.085,-0.179,0.036
0.12,-0.164,-0.109,0.098
0.13,-0.145,-0.008,0.133
0.14,-0.281,0.051,0.118
0.15,-0.348,0.169,0.012
0.16,-0.253,-0.061,-0.091
0.17,-0.373,-0.109,-0.08
0.18,-0.385,0.115,-0.028
0.19,-0.294,0.089,0.013
0.2,-0.313,0.301,-0.026
0.21,-0.143,0.286,-0.112
0.22,0.006,-0.074,-0.121
0.23,-0.039,-0.21,-0.011
0.24,-0.052,-0.347,0.143
0.25,-0.261,-0.167,0.34
0.26,-0.272,0.175,0.179
0.27,-0.376,0.185,-0.003
0.28,-0.29,0.192,-0.203
0.29,-0.325,0.005,-0.258
0.3,-0.429,-0.125,-0.105
0.31,-0.309,0.028,-0.055
0.32,-0.235,0.187,0.067
0.33,-0.084,0.125,0.037
0.34,-0.004,0.295,0.0
0.35,-0.129,-0.066,0.121
0.36,-0.135,-0.209,0.119
0.37,-0.292,-0.187,0.117
0.38,-0.353,-0.22,0.093
0.39,-0.344,-0.008,0.01
0.4,-0.337,0.207,-0.066
0.41,-0.312,0.212,-0.086
0.42,-0.358,0.096,-0.079
0.43,-0.319,0.025,-0.081
0.44,-0.121,-0.098,-0.078
0.45,-0.128,0.044,-0.003
0.46,-0.153,0.146,0.086
0.47,-0.108,0.056,0.086
0.48,-0.112,0.058,0.068
0.49,-0.191,-0.125,0.077
0.5,-0.36,-0.226,0.123
0.51,-0.29,-0.098,0.055
0.52,-0.36,-0.072,-0.041
0.53,-0.0,-0.0,-0.857
0.54,-0.092,-0.079,-0.013
0.55,-0.141,-0.17,0.064
0.56,-0.183,-0.116,0.129
0.57,-0.217,-0.008,0.157
0.58,-0.348,-0.004,0.123
0.59,-0.347,0.075,-0.018
0.6,-0.168,-0.043,-0.141
0.61,-0.28,-0.17,-0.077
0.62,-0.374,0.048,-0.012
0.63,-0.225,0.232,0.031
0.64,-0.268,0.225,0.038
0.65,-0.138,0.404,-0.087
0.66,-0.074,0.048,-0.094
0.67,-0.145,-0.266,-0.036
0.68,-0.136,-0.297,0.103
0.69,-0.317,-0.301,0.286
0.7,-0.317,-0.122,0.265
0.71,-0.27,0.194,0.013
0.72,-0.251,0.143,-0.097
0.73,-0.184,0.079,-0.193
0.74,-0.348,0.046,-0.051
0.75,-0.323,-0.112,0.001
