t,ax,ay,az
0.0,-0.123,0.924,0.109
0.01,-0.147,0.768,0.144
0.02,-0.278,1.111,-0.097
0.03,-0.31,0.856,-0.148
0.04,-0.134,1.259,0.158
0.05,-0.077,0.74,0.125
0.06,-0.279,0.991,0.007
0.07,-0.351,0.979,-0.162
0.08,-0.165,1.057,-0.037
0.09,-0.088,0.973,0.112
0.1,-0.092,0.748,0.116
0.11,-0.474,1.126,-0.143
0.12,-0.233,0.852,-0.109
0.13,-0.098,1.274,0.092
0.14,-0.147,0.652,0.187
0.15,-0.256,0.984,-0.02
0.16,-0.282,1.047,-0.241
0.17,-0.128,0.945,0.014
0.18,-0.164,1.076,0.175
0.19,-0.119,0.678,0.057
0.2,-0.477,1.183,-0.185
0.21,-0.108,0.917,-0.015
0.22,-0.132,1.161,0.076
0.23,-0.139,0.695,0.153
0.24,-0.266,0.994,-0.065
0.25,-0.329,1.054,-0.212
0.26,-0.135,0.916,0.102
0.27,-0.049,1.129,0.13
0.28,-0.165,0.633,0.018
0.29,-0.457,1.248,-0.151
0.3,-0.056,0.934,-0.05
0.31,-0.241,1.063,0.113
0.32,-0.164,0.819,0.213
0.33,-0.355,0.903,-0.12
0.34,-0.295,1.085,-0.163
0.35,-0.015,1.001,0.12
0.36,-0.149,1.05,0.109
0.37,-0.236,0.65,0.029
0.38,-0.435,1.323,-0.154
0.39,-0.134,0.864,-0.059
0.4,-0.21,0.964,0.172
0.41,-0.109,0.902,0.098
0.42,-0.34,0.862,-0.238
0.43,-0.259,1.233,-0.036
0.44,-0.061,0.854,0.062
0.45,-0.174,0.998,0.144
0.46,-0.202,0.762,-0.014
0.47,-0.411,1.236,-0.262
0.48,-0.08,0.85,-0.004
0.49,-0.079,1.049,0.158
0.5,-0.202,0.885,0.02
0.51,-0.366,0.835,-0.17
0.52,-0.133,1.31,-0.087
0.53,-0.112,0.739,0.117
0.54,-0.179,1.05,0.149
0.55,-0.272,0.778,-0.114
0.56,-0.278,1.094,-0.176
0.57,-0.004,1.075,0.074
0.58,-0.145,0.841,0.14
0.59,-0.128,0.841,-0.003
0.6,-0.436,1.091,-0.156
0.61,-0.167,1.101,-0.024
0.62,-0.083,0.761,0.148
0.63,-0.262,1.081,0.128
0.64,-0.365,0.765,-0.131
0.65,-0.273,1.25,-0.086
0.66,-0.003,0.947,0.051
0.67,-0.205,0.816,0.137
0.68,-0.203,0.921,-0.034
0.69,-0.396,0.969,-0.196
0.7,-0.112,1.193,0.014
0.71,-0.088,0.766,0.104
0.72,-0.213,1.033,0.066
0.73,-0.338,0.848,-0.206
0.74,-0.169,1.237,-0.085
0.75,-0.144,0.86,0.112
0.76,-0.062,0.847,0.159
0.77,-0.327,1.051,-0.102
0.78,-0.336,0.817,-0.137
0.79,-0.116,1.259,0.072
0.8,-0.09,0.715,0.118
0.81,-0.248,1.002,0.034
0.82,-0.426,0.975,-0.137
0.83,-0.115,1.111,-0.053
0.84,-0.196,0.898,0.15
0.85,-0.157,0.789,0.183
0.86,-0.349,1.113,-0.137
0.87,-0.259,0.854,-0.159
0.88,-0.027,1.269,0.045
0.89,-0.039,0.639,0.12
0.9,-0.318,1.023,0.004
0.91,-0.362,1.006,-0.168
0.92,-0.176,1.017,0.05
0.93,-0.22,0.976,0.167
0.94,-0.12,0.745,0.111
0.95,-0.415,1.199,-0.202
0.96,-0.209,0.843,-0.021
0.97,-0.04,1.233,0.09
0.98,-0.199,0.696,0.127
0.99,-0.282,0.965,-0.022
1.0,-0.322,1.03,-0.228
1.01,-0.157,0.955,0.057
1.02,-0.114,1.123,0.128
1.03,-0.131,0.618,-0.007
1.04,-0.498,1.201,-0.135
1.05,-0.079,0.919,-0.053
1.06,-0.146,1.099,0.076
1.07,-0.123,0.781,0.192
1.08,-0.333,0.96,-0.11
1.09,-0.308,1.048,-0.191
