t,ax,ay,az
0.0,-0.26,0.22,-0.04
0.01,-0.261,0.13,-0.142
0.02,-0.241,0.024,-0.163
0.03,-0.393,-0.038,-0.032
0.04,-0.302,-0.021,0.032
0.05,-0.222,0.131,0.008
0.06,-0.221,0.236,0.05
0.07,-0.141,0.104,0.024
0.08,-0.191,0.1,0.075
0.09,-0.257,-0.293,0.083
0.1,-0.323,-0.32,0.107
0.11,-0.239,-0.128,0.058
0.12,-0.215,-0.009,0.019
0.13,-0.234,0.212,0.006
0.14,-0.16,0.314,-0.041
0.15,-0.307,0.13,0.056
0.16,-0.312,0.023,-0.04
0.17,-0.25,-0.028,-0.06
0.18,-0.303,-0.144,0.006
0.19,-0.236,0.138,-0.004
0.2,-0.208,0.158,0.059
0.21,-0.0,-0.0,-0.842
0.22,-0.419,0.136,0.015
0.23,-0.361,0.106,-0.002
0.24,-0.248,0.129,-0.064
0.25,-0.235,0.106,-0.016
0.26,-0.216,0.034,0.04
0.27,-0.103,-0.11,0.119
0.28,-0.075,-0.086,0.084
0.29,-0.115,-0.073,0.083
0.3,-0.165,0.014,0.065
0.31,-0.235,0.16,0.091
0.32,-0.343,0.048,0.077
0.33,-0.312,-0.017,-0.057
0.34,-0.314,-0.082,-0.101
0.35,-0.323,-0.149,-0.003
0.36,-0.344,0.199,0.065
0.37,-0.353,0.249,0.113
0.38,-0.17,0.26,-0.012
0.39,0.004,0.127,-0.138
0.4,-0.023,-0.216,-0.058
0.41,-0.12,-0.459,0.099
0.42,-0.249,-0.248,0.294
0.43,-0.284,-0.038,0.345
0.44,-0.253,0.197,0.06
0.45,-0.359,0.377,-0.112
0.46,-0.355,0.018,-0.161
0.47,-0.322,0.046,-0.173
0.48,-0.366,-0.083,-0.024
0.49,-0.256,-0.112,0.028
0.5,-0.153,0.107,0.053
0.51,-0.086,0.206,0.052
0.52,-0.065,0.193,0.079
0.53,-0.184,-0.01,0.129
0.54,-0.209,-0.228,0.067
0.55,-0.3,-0.243,0.071
0.56,-0.309,-0.065,0.017
0.57,-0.334,0.024,0.045
0.58,-0.339,0.234,-0.016
0.59,-0.329,0.191,-0.041
0.6,-0.293,0.037,-0.035
0.61,-0.184,-0.039,-0.111
0.62,-0.231,-0.117,-0.012
0.63,-0.125,-0.064,0.05
0.64,-0.148,0.236,0.115
0.65,-0.131,0.101,0.097
0.66,-0.108,-0.014,0.015
0.67,-0.232,-0.078,0.085
0.68,-0.358,-0.238,0.168
0.69,-0.353,-0.137,0.053
0.7,-0.434,0.018,-0.041
0.71,-0.366,0.097,-0.101
0.72,-0.221,0.264,-0.115
0.73,-0.189,0.154,-0.074
0.74,-0.13,-0.073,0.003
0.75,-0.078,-0.038,-0.001
0.76,-0.103,-0.08,0.113
0.77,-0.135,-0.037,0.145
0.78,-0.18,0.2,0.091
0.79,-0.29,0.079,0.08
0.8,-0.342,-0.019,-0.041
0.81,-0.424,-0.066,-0.077
0.82,-0.447,-0.154,-0.036
0.83,-0.332,0.032,0.009
0.84,-0.206,0.136,-0.032
0.85,-0.132,0.119,-0.033
0.86,-0.136,0.209,0.027
0.87,-0.152,0.158,0.058
0.88,-0.093,-0.104,0.056
0.89,-0.175,-0.132,0.063
0.9,-0.249,-0.055,0.082
0.91,-0.242,-0.149,0.088
0.92,-0.392,0.075,0.081
0.93,-0.37,-0.032,-0.008
0.94,-0.264,-0.027,-0.078
0.95,-0.281,-0.022,-0.004
0.96,-0.294,-0.005,0.061
0.97,-0.233,0.258,0.005
0.98,-0.218,0.294,-0.03
0.99,-0.147,0.172,-0.12
1.0,-0.06,-0.002,-0.178
1.01,-0.105,-0.212,0.001
1.02,-0.223,-0.355,0.217
1.03,-0.337,-0.125,-0.866
1.04,-0.318,0.003,0.255
1.05,-0.255,0.12,-0.03
1.06,-0.251,0.214,-0.17
1.07,-0.259,-0.042,-0.14
1.08,-0.318,-0.031,-0.07
1.09,-0.326,0.08,-0.053
1.1,-0.231,0.024,0.024
1.11,-0.168,0.264,0.016
1.12,-0.091,0.233,0.033
1.13,-0.127,-0.011,0.123
1.14,-0.217,-0.114,0.085
1.15,-0.369,-0.299,0.151
1.16,-0.294,-0.339,0.066
1.17,-0.202,0.009,0.025
1.18,-0.275,0.049,0.039
1.19,-0.205,0.306,-0.025
1.2,-0.338,0.207,-0.017
1.21,-0.286,0.029,-0.041
1.22,-0.216,0.026,-0.105
1.23,-0.296,-0.03,0.007
1.24,-0.187,0.101,0.026
1.25,-0.118,0.136,0.013
1.26,-0.0,-0.0,-0.844
1.27,-0.337,0.149,0.019
1.28,-0.254,0.212,-0.039
1.29,-0.251,0.209,-0.065
1.3,-0.229,0.135,-0.021
1.31,-0.242,0.06,0.013
1.32,-0.182,-0.134,0.067
1.33,-0.104,-0.169,0.021
1.34,-0.138,-0.083,0.104
1.35,-0.174,-0.098,0.125
1.36,-0.26,0.152,0.119
1.37,-0.268,0.059,0.051
1.38,-0.26,-0.128,-0.079
1.39,-0.342,-0.004,-0.047
1.4,-0.312,0.061,0.08
1.41,-0.346,0.255,0.074
1.42,-0.301,0.318,-0.031
1.43,-0.178,0.138,-0.157
1.44,-0.083,-0.053,-0.148
1.45,-0.081,-0.29,0.02
1.46,-0.084,-0.312,0.198
1.47,-0.212,-0.154,0.308
1.48,-0.251,0.148,0.186
1.49,-0.253,0.138,-0.003
1.5,-0.255,0.196,-0.133
1.51,-0.315,0.024,-0.107
1.52,-0.408,-0.115,-0.016
1.53,-0.367,0.009,0.004
1.54,-0.351,0.032,0.006
1.55,-0.199,0.206,0.009
1.56,-0.115,0.164,0.002
1.57,-0.146,0.001,0.092
1.58,-0.089,-0.205,0.083
1.59,-0.235,-0.149,0.101
1.6,-0.274,-0.241,0.108
1.61,-0.191,0.025,-0.017
1.62,-0.307,0.238,0.05
1.63,-0.241,0.201,-0.004
1.64,-0.366,0.192,-0.027
1.65,-0.404,0.005,-0.077
1.66,-0.285,-0.057,-0.093
1.67,-0.279,0.042,-0.012
1.68,-0.138,0.053,0.026
1.69,-0.1,0.057,0.043
1.7,-0.078,0.015,0.088
1.71,-0.05,-0.135,0.1
1.72,-0.219,-0.108,0.147
1.73,-0.285,-0.153,0.123
1.74,-0.277,0.032,0.037
1.75,-0.439,0.145,-0.058
1.76,-0.387,0.094,-0.1
1.77,-0.272,0.133,-0.093
1.78,-0.244,0.032,-0.038
1.79,-0.211,-0.03,0.059
1.8,-0.137,-0.15,0.036
1.81,-0.012,0.099,0.012
1.82,-0.104,-0.014,0.114
1.83,-0.158,0.088,0.14
1.84,-0.279,0.051,0.072
1.85,-0.332,-0.054,-0.024
1.86,-0.342,-0.022,-0.054
1.87,-0.441,-0.035,-0.013
1.88,-0.385,0.044,0.002
1.89,-0.265,0.123,-0.067
1.9,-0.241,0.105,-0.017
1.91,-0.182,0.102,-0.03
1.92,-0.138,0.132,-0.001
1.93,-0.052,0.013,0.053
1.94,-0.036,-0.109,0.048
1.95,-0.19,-0.021,0.117
1.96,-0.23,-0.091,0.135
1.97,-0.354,0.04,0.07
1.98,-0.319,0.001,-0.084
1.99,-0.296,-0.117,-0.111
2.0,-0.412,0.029,-0.036
2.01,-0.361,0.132,0.075
2.02,-0.232,0.147,0.042
2.03,-0.184,0.323,-0.025
2.04,-0.08,0.086,-0.087
2.05,-0.032,-0.18,-0.063
2.06,-0.094,-0.265,0.033
2.07,-0.177,-0.299,0.21
2.08,-0.347,-0.008,0.286
2.09,-0.309,0.121,0.132
2.1,-0.346,0.124,-0.052
2.11,-0.317,0.154,-0.203
2.12,-0.285,-0.033,-0.177
2.13,-0.366,-0.142,-0.008
2.14,-0.245,0.046,-0.015
2.15,-0.164,0.143,0.047
2.16,-0.101,0.195,0.031
2.17,-0.038,0.248,0.011
2.18,-0.209,-0.005,0.12
2.19,-0.193,-0.206,0.066
2.2,-0.307,-0.212,0.045
2.21,-0.398,-0.246,0.057
2.22,-0.303,0.028,0.011
2.23,-0.386,0.191,0.019
2.24,-0.203,0.163,-0.041
2.25,-0.281,0.157,-0.107
2.26,-0.219,-0.078,-0.067
2.27,-0.117,-0.009,-0.041
2.28,-0.211,0.05,0.096
2.29,-0.167,0.155,0.104
2.3,-0.185,0.07,0.029
2.31,-0.207,-0.0,0.019
2.32,-0.17,-0.207,0.015
2.33,-0.384,-0.25,-0.872
2.34,-0.374,-0.104,0.078
2.35,-0.26,-0.13,0.035
2.36,-0.27,0.258,-0.03
2.37,-0.186,0.282,-0.09
2.38,-0.187,0.075,-0.029
2.39,-0.132,0.105,-0.058
2.4,-0.169,-0.043,0.005
2.41,-0.236,-0.057,0.054
2.42,-0.156,0.015,0.039
2.43,-0.199,0.134,0.077
2.44,-0.29,0.005,0.092
2.45,-0.365,-0.05,0.055
